Word,Tag,Lemma,CorrectWord
Er,c,er,Er
það,faheo,það,það
nftjánda,lheovf,nftjándur,nítjánda
aukaþing,nheo,aukaþing,aukaþing
í,aþ,í,í
röðinni,nveþg,röð,röðinni
",",",",",",","
en,c,en,en
hundraðasta,lhenvf,hundraðasti,hundraðasta
og,c,og,og
tíunda,lhenvf,tíundi,tíunda
samkoma,nven,samkoma,samkoma
frá,aþ,frá,frá
því,fpheþ,það,því
",",",",",",","
er,c,er,er
Alþingi,nhen-s,Alþingi,Alþingi
var,sfg3eþ,vera,var
endurreist,sþghen,endurreisa,endurreist
.,.,.,.
,,,
Séra,nken,séra,Séra
Jðn,nkee-s,Jðn,Jón
Einarsson,nken-s,Einarsson,Einarsson
steig,sfg3eþ,stíga,steig
í,ao,í,í
stólinn,nkeog,stóll,stólinn
.,.,.,.
,,,
Að,aþ,að,Að
lokinni,lveþsf,lokinn,lokinni
guðsþjónustu,nveþ,guðsþjónusta,guðsþjónustu
gengu,sfg3fþ,ganga,gengu
þingmenn,nkfn,þingmaður,þingmenn
aftur,aa,aftur,aftur
tiI,nkeo,tiir,til
alþingishússins,nheeg,alþingishús,alþingishússins
",",",",",",","
fundarsals,nkee,fundarsall,fundarsals
sameinaðs,lheesf,sameinaður,sameinaðs
þings,nhee,þing,þings
og,c,og,og
neðrí,lvfnof,neðrí,neðri
deíldar,nvee,deíld,deildar
.,.,.,.
,,,
Ellert,nkeo,ellert,Ellert
B.,nken-s,B.,B.
Sehram,nken-s,Sehram,Schram
",",",",",",","
11.,ta,11.,11.
þm.,lheþsf,þm.,þm.
,,,
HalIdór,nken,halidór,Halldór
Ásgrímsson,nken-s,Ásgrímsson,Ásgrímsson
",",",",",",","
5.,ta,5.,5.
þm.,lheþsf,þm.,þm.
,,,
I.árus,nken,i.árus,Lárus
Jónsson,nken-s,Jónsson,Jónsson
",",",",",",","
4.,ta,4.,4.
þm.,lheþsf,þm.,þm.
,,,
Sighvatur,nvfn,sighvata,Sighvatur
Björgvínsson,nken-s,Björgvínsson,Björgvinsson
",",",",",",","
8.,ta,8.,8.
landsk.,lkensf,landsk.,landsk.
þm.,lkensf,þm.,þm.
49,ta,49,49
.,.,.,.
,,,
Forseti,nken,forseti,Forseti
Íslands,nhee-s,Ísland,Íslands
(,(,(,(
Kristján,nken-s,Kristján,Kristján
Eldjárn,nken-s,Eldjárn,Eldjárn
),),),)
:,:,:,:
Hinn,gken,hinn,Hinn
2.,ta,2.,2.
þ.m.,lheþsf,þ.m.,þ.m.
var,sfg3eþ,vera,var
gefið,sþghen,gefa,gefið
út,aa,út,út
svofellt,lhensf,svofelldur,svofellt
bréf,nhen,bréf,bréf
:,:,:,:
„,nkeo,„ur,„
Forseti,nken,forseti,Forseti
Íslands,nhee-s,Ísland,Íslands
gjörir,sfg3en,gjöra,gjörir
kunnugt,lheosf,kunnugur,kunnugt
:,:,:,:
Ég,fp1en,ég,Ég
hef,sfg1en,hafa,hef
ákveðið,ssg,ákveða,ákveðið
samkvæmt,aþ,samkvæmt,samkvæmt
tillögu,nveþ,tillaga,tillögu
forsætisráðherra,nkee,forsætisráðherra,forsætisráðherra
og,c,og,og
með,aþ,með,með
skírskotun,nveþ,skírskotun,skírskotun
til,ae,til,til
22.,ta,22.,22.
gr.,nvee,gr.,gr.
stjskr.,nven,stjskr.,stjskr.
",",",",",",","
að,c,að,að
Alþingi,nhen-s,Alþingi,Alþingi
skuli,svg3en,skulu,skuli
koma,sng,koma,koma
saman,aa,saman,saman
tiI,nkeo,tiir,til
aukafundar,nkee,aukafundur,aukafundar
fímmtudaginn,nkeog,fímmtudagur,fimmtudaginn
18.,ta,18.,18.
júlí,nkeo,júlí,júlí
1974,ta,1974,1974
.,.,.,.
,,,
Um,ao,um,Um
leið,nveo,leið,leið
og,c,og,og
ég,fp1en,ég,ég
birti,sfg1eþ,birta,birti
þetta,faheo,þessi,þetta
",",",",",",","
er,sfg1en,vera,er
öllum,fohfþ,allur,öllum
",",",",",",","
sem,ct,sem,sem
setu,nveþ,seta,setu
eiga,sfg3fn,eiga,eiga
á,aþ,á,á
Alþingi,nheþ-s,Alþingi,Alþingi
",",",",",",","
boðið,ssg,bjóða,boðið
að,cn,að,að
koma,sng,koma,koma
nefndan,lkeosf,nefndur,nefndan
dag,nkeo,dagur,dag
til,ae,til,til
Reykjavikur,nvee-s,Reykjavik,Reykjavíkur
",",",",",",","
og,c,og,og
verður,sfg3en,verða,verður
þá,aa,þá,þá
Alþingi,nhen-s,Alþingi,Alþingi
sett,sþghen,setja,sett
að,aþ,að,að
lokinni,lveþsf,lokinn,lokinni
guðsþjónustu,nveþ,guðsþjónusta,guðsþjónustu
í,aþ,í,í
dómkirkjunni,nveþg,dómkirkja,dómkirkjunni
",",",",",",","
sem,ct,sem,sem
hefst,sfm3en,hefja,hefst
kl.,nveng,kl.,kl.
13.30,ta,13.30,13.30
.,.,.,.
,,,
Gjört,lhensf,gjörður,Gjört
í,aþ,í,í
Reykjavik,nkeþ-s,Reykjavikur,Reykjavík
",",",",",",","
2.,ta,2.,2.
júlí,nkeo,júlí,júlí
1974,ta,1974,1974
.,.,.,.
,,,
Forsetabréf,nhen,forsetabréf,Forsetabréf
um,ao,um,um
",",",",",",","
að,c,að,að
Alþingi,nhen-s,Alþingi,Alþingi
skuli,svg3en,skulu,skuli
koma,sng,koma,koma
saman,aa,saman,saman
til,ae,til,til
fnndar,nvee,fnnd,fundar
",",",",",",","
fimmtudaginn,nkeog,fimmtudagur,fimmtudaginn
18.,ta,18.,18.
júlí,nkee,júlí,júlí
1974.,ta,1974.,1974.
“,nkeo,“ur,“
,,,
Samkvæmt,aþ,samkvæmt,Samkvæmt
bréfi,nheþ,bréf,bréfi
því,aa,því,því
",",",",",",","
er,sfg1en,vera,er
ég,fp1en,ég,ég
nú,aa,nú,nú
hef,sfg1en,hafa,hef
lesið,ssg,lesa,lesið
",",",",",",","
lýsi,nheo,lýsi,lýsi
ég,fp1en,ég,ég
yfir,ao,yfir,yfir
þvf,nkeo,þvfur,því
",",",",",",","
að,c,að,að
Alþingi,nhen-s,Alþingi,Alþingi
Íslendinga,nkfe-s,Íslendingur,Íslendinga
er,sfg3en,vera,er
sett,sþghen,setja,sett
.,.,.,.
,,,
Að,aþ,að,Að
þessu,faheþ,þessi,þessu
sinni,nheþ,sinn,sinni
er,sfg3en,vera,er
Alþingi,nhen-s,Alþingi,Alþingi
sett,sþghen,setja,sett
við,ao,við,við
þær,favfo,hún,þær
kringumstæður,nvfo,kringumstæður,kringumstæður
",",",",",",","
að,c,að,að
ekki,aa,ekki,ekki
hefur,sfg3en,hafa,hefur
enn,aa,enn,enn
skapast,ssm,skapa,skapast
sú,faven,sá,sú
samstaða,nven,samstaða,samstaða
milli,ae,milli,milli
þingflokka,nkfe,þingflokkur,þingflokka
",",",",",",","
sem,ct,sem,sem
nauðsynleg,lvensf,nauðsynlegur,nauðsynleg
er,sfg3en,vera,er
til,ae,til,til
myndunar,nvee,myndun,myndunar
