Word,Tag,Lemma,CorrectWord
Svo,aa,svo,Svo
sem,ct,sem,sem
i,e,i,í
grg.,lheþsf,grg.,grg.
frv.,aa,frv.,frv.
segir,sfg3en,segja,segir
",",",",",",","
hefur,sfg3en,hafa,hefur
happdrættið,nheng,happdrætti,happdrættið
nú,aa,nú,nú
heimild,nveo,heimild,heimild
til,ae,til,til
að,cn,að,að
gefa,sng,gefa,gefa
út,aa,út,út
3,ta,3,3
flokka,nkfe,flokkur,flokka
happdrættismiða,nkfe,happdrættismiði,happdrættismiða
",",",",",",","
þriðji,lkenvf,þriðji,þriðji
flokkurinn,nkeng,flokkur,flokkurinn
var,sfg3eþ,vera,var
heimilaður,sþgken,heimila,heimilaður
með,aþ,með,með
l.,nhfþ,l.,l.
frá,aþ,frá,frá
síðasta,lkeþve,síðari,síðasta
Alþ.,nheþ-s,Alþ.,Alþ.
,,,
Þetta,fahen,þessi,Þetta
hefur,sfg3en,hafa,hefur
ekki,aa,ekki,ekki
hvað,fsheo,hver,hvað
síst,aae,síst,síst
orðið,ssg,verða,orðið
vegna,ae,vegna,vegna
þess,fphee,það,þess
",",",",",",","
að,c,að,að
það,fphen,það,það
er,sfg3en,vera,er
vaxandi,lvenof,vaxandi,vaxandi
tilhneiging,nven,tilhneiging,tilhneiging
i,e,i,í
þá,faveo,sá,þá
átt,nveo,átt,átt
",",",",",",","
að,c,að,að
menn,nkfn,maður,menn
kaupi,svg3fn,kaupa,kaupi
seríunúmer,nheo,seríunúmer,seríunúmer
og,c,og,og
flokkar,nkfn,flokkur,flokkar
manna,sfg3fn,manna,manna
sameinist,ssm,sameina,sameinist
um,ao,um,um
það,fpheo,það,það
að,cn,að,að
kaupa,sng,kaupa,kaupa
svo,aa,svo,svo
og,c,og,og
svo,aa,svo,svo
marga,lkfosf,margur,marga
happdrættismiða,nkfe,happdrættismiði,happdrættismiða
og,c,og,og
vilja,sfg3fn,vilja,vilja
þá,fakfo,hann,þá
gjarnan,aa,gjarnan,gjarnan
hafa,sng,hafa,hafa
þá,fpkfo,hann,þá
heilmiða,nkfo,heilmiði,heilmiða
",",",",",",","
þannig,aa,þannig,þannig
að,c,að,að
stjórn,nven,stjórn,stjórn
happdrættisins,nkeeg,happdrættir,happdrættisins
telur,sfg3en,telja,telur
",",",",",",","
að,c,að,að
það,fphen,það,það
væri,svg3eþ,vera,væri
til,ae,til,til
mikilla,lvfesf,mikill,mikilla
hagsbóta,nvfe,hagsbót,hagsbóta
og,c,og,og
mundi,svg3eþ,munu,mundi
bæta,sng,bæta,bæta
aðstöðu,nveo,aðstaða,aðstöðu
happdrættisins,nkeeg,happdrættir,happdrættisins
með,aþ,með,með
mörgu,lheþsf,margur,mörgu
móti,nheþ,mót,móti
",",",",",",","
ef,c,ef,ef
þessi,faken,þessi,þessi
4.,ta,4.,4.
flokkur,nken,flokkur,flokkur
yrði,svg3eþ,verða,yrði
heimilaður,sþgken,heimila,heimilaður
.,.,.,.
,,,
Þvi,nken,þvi,Því
er,sfg3en,vera,er
ekki,aa,ekki,ekki
heldur,aam,heldur,heldur
að,cn,að,að
leyna,sng,leyna,leyna
",",",",",",","
að,c,að,að
það,fahen,það,það
",",",",",",","
sem,ct,sem,sem
hér,aa,hér,hér
liggur,sfg3en,liggja,liggur
að,aþ,að,að
baki,nheþ,bak,baki
",",",",",",","
er,sfg3en,vera,er
að,aþ,að,að
sjálfsögðu,lheþsf,sjálfsagður,sjálfsögðu
um,ao,um,um
leið,nveo,leið,leið
að,cn,að,að
auka,sng,auka,auka
möguleika,nkfo,möguleiki,möguleika
happdrættisins,nkeeg,happdrættir,happdrættisins
til,ae,til,til
fjáröflunar,nvee,fjáröflun,fjáröflunar
.,.,.,.
,,,
Það,fphen,það,Það
er,sfg3en,vera,er
talið,sþghen,telja,talið
",",",",",",","
að,c,að,að
enda,aa,enda,enda
þótt,c,þótt,þótt
það,fphen,það,það
sé,svg3en,vera,sé
ekki,aa,ekki,ekki
von,nven,von,von
til,ae,til,til
",",",",",",","
að,c,að,að
allir,fokfn,allur,allir
þessir,fakfn,þessi,þessir
happdrættismiðar,nkfn,happdrættismiði,happdrættismiðar
mundu,svg3fþ,munu,mundu
