Word,Tag,Lemma,CorrectWord
Eins,aa,eins,Eins
og,c,og,og
öllum,fokfþ,allur,öllum
hv.,lheþsf,hv.,hv.
þdm.,lheþsf,þdm.,þdm.
er,sfg3en,vera,er
kunnugt,lhensf,kunnugur,kunnugt
",",",",",",","
þá,aa,þá,þá
samþykkti,sfg3eþ,samþykkja,samþykkti
siðasta,lhenve,siður,síðasta
þing,nhen,þing,þing
frv.,aa,frv.,frv.
til,ae,til,til
l.,nhfe,l.,l.
um,ao,um,um
breyting,nven,breyting,breyting
á,aþ,á,á
stjórnskipunarlögum,nhfþ,stjórnskipunarlög,stjórnskipunarlögum
landsins,nheeg,land,landsins
.,.,.,.
,,,
Þessar,favfn,þessi,Þessar
kosningar,nvfn,kosning,kosningar
fóru,sfg3fþ,fara,fóru
fram,aa,fram,fram
28.,ta,28.,28.
f.,nven,f.,f.m
m.,ae,m.,.
,,,
Má,sfg3en,mega,Má
því,aa,því,því
með,aþ,með,með
sanni,nkeþ,sannur,sanni
segja,sng,segja,segja
",",",",",",","
að,c,að,að
þjóðin,nveng,þjóð,þjóðin
hafi,svg3en,hafa,hafi
látið,ssg,láta,látið
vilja,nkeo,vilji,vilja
sinn,fekeo,sinn,sinn
i,e,i,í
ljós,nheo,ljós,ljós
um,ao,um,um
þessa,faveo,þessi,þessa
breyt.,nvfþ,breyt.,breyt.
á,ao,á,á
mjög,aa,mjög,mjög
ótvíræðan,lkeosf,ótvíræður,ótvíræðan
hátt,nkeo,háttur,hátt
.,.,.,.
,,,
Í,aþ,í,Í
því,faheþ,það,því
skyni,nheþ,skyn,skyni
er,sfg3en,vera,er
frv.,aa,frv.,frv.
lagt,sþghen,leggja,lagt
bér,sfg3eþ,bjá,þér
fram,aa,fram,fram
á,aa,á,á
ný,aa,ný,ný
",",",",",",","
óbreytt,lvensf,óbreyttur,óbreytt
vitaskuld,aa,vitaskuld,vitaskuld
",",",",",",","
eins,aa,eins,eins
og,c,og,og
síðasta,lvenve,síðari,síðasta
Alþ.,nven-s,Alþ.,Alþ.
gekk,sfg3eþ,ganga,gekk
frá,aþ,frá,frá
því,fpheþ,það,því
.,.,.,.
,,,
Við,fp1fn,ég,Við
teljum,sfg1fn,telja,teljum
",",",",",",","
sem,ct,sem,sem
að,aþ,að,að
málinu,nheþg,mál,málinu
stöndum,sfg1fn,standa,stöndum
",",",",",",","
að,c,að,að
með,aþ,með,með
afgreiðslu,nveþ,afgreiðsla,afgreiðslu
þess,fphee,það,þess
á,ao,á,á
þann,fakeo,sá,þann
hátt,nkeo,háttur,hátt
",",",",",",","
sem,ct,sem,sem
hér,aa,hér,hér
er,sfg3en,vera,er
gert,sþghen,gera,gert
ráð,nhen,ráð,ráð
fyrir,aa,fyrir,fyrir
",",",",",",","
sé,svg3en,vera,sé
mikil,lvensf,mikill,mikil
bót,nven,bót,bót
fengin,sþgven,fá,fengin
á,aþ,á,á
þvi,nkeþ,þvir,því
ranglæti,nhen,ranglæti,ranglæti
",",",",",",","
sem,c,sem,sem
íslenska,lvenvf,íslenskur,íslenska
þjóðin,nveng,þjóð,þjóðin
hefur,sfg3en,hafa,hefur
átt,ssg,eiga,átt
við,ao,við,við
að,cn,að,að
búa,sng,búa,búa
um,ao,um,um
val,nheo,val,val
fulltrúa,nkfe,fulltrúi,fulltrúa
til,ae,til,til
Alþingis,nhee-s,Alþingi,Alþingis
",",",",",",","
---,ta,---,---
úrbót,nven,úrbót,úrbót
",",",",",",","
sem,ct,sem,sem
lengi,aa,lengi,lengi
hefur,sfg3en,hafa,hefur
verið,ssg,vera,verið
stefnt,sþghen,stefna,stefnt
að,aþ,að,að
að,cn,að,að
ná,sng,ná,ná
og,c,og,og
að,aþ,að,að
vísu,lheþsf,vís,vísu
nokkuð,fohen,nokkur,nokkuð
hefur,sfg3en,hafa,hefur
þokað,ssg,þoka,þokað
í,ao,í,í
áttina,nveog,átt,áttina
með,aþ,með,með
fyrri,lvfþvm,fyrri,fyrri
breytingum,nvfþ,breyting,breytingum
",",",",",",","
en,c,en,en
þó,aa,þó,þó
nú,aa,nú,nú
mest,aae,mest,mest
með,aþ,með,með
þeirri,faveþ,sá,þeirri
breyt.,nveþ,breyt.,breyt.
",",",",",",","
sem,ct,sem,sem
hér,aa,hér,hér
er,sfg3en,vera,er
ætlað,sþghen,ætla,ætlað
að,cn,að,að
gera,sng,gera,gera
.,.,.,.
,,,
Ég,fp1en,ég,Ég
leyfl,nkeo,leyfl,leyfi
mér,fp1eþ,ég,mér
svo,aa,svo,svo
",",",",",",","
herra,nkee,herra,herra
forseti,nken,forseti,forseti
",",",",",",","
að,cn,að,að
leggja,sng,leggja,leggja
til,ae,til,til
",",",",",",","
að,aþ,að,að
málinu,nheþg,mál,málinu
