Word,Tag,Lemma
Fjármálaráðherra,nkee,fjármálaráðherra
(,(,(
Geir,nken-s,Geir
H.,nkee-s,H.
Haarde,nkee-s,Haarde
),),)
(,(,(
andsvar,nhen,andsvar
),),)
:,:,:
Herra,nkee,herra
forseti,nken,forseti
.,.,.
,,
Það,fphen,það
kom,sfg3eþ,koma
fram,aa,fram
hjá,aþ,hjá
mér,fp1eþ,ég
áðan,aa,áðan
að,c,að
vísitöluhækkunin,nveng,vísitöluhækkun
vegna,ae,vegna
breytingarinnar,nveeg,breyting
á,aþ,á
bensíngjaldi,nheþ,bensíngjald
var,sfg3eþ,vera
ekki,aa,ekki
nema,c,nema
"0,09%",ta,"0,09%"
.,.,.
,,
Það,fphen,það
veltir,sfg3en,velta
því,fpheþ,það
ekki,aa,ekki
þungu,lheþsf,þungur
hlassi,nken,hlassi
í,aþ,í
þessum,fakfþ,þessi
verðbólguútreikningum,nkfþ,verðbólguútreikningur
í,aþ,í
sjálfu,fbheþ,sjálfur
sér,fpheþ,sig
.,.,.
,,
(,(,(
Gripið,ssg,grípa
fram,aa,fram
í,aa,í
.,.,.
),),)
Ég,fp1en,ég
á,sfg1en,eiga
ekki,aa,ekki
von,nveo,von
á,aþ,á
því,fpheþ,það
að,c,að
endurskoðuð,sþgven,endurskoða
tekjuáætlun,nven,tekjuáætlun
komi,svg3en,koma
fyrir,aa,fyrir
allt,fohen,allur
þetta,fahen,þessi
ár,nhen,ár
á,aþ,á
fundi,nkeþ,fundur
fjárln.,lheþsf,fjárln.
í,ao,í
fyrramálið,nheog,fyrramál
þó,aa,þó
að,c,að
upplýsingar,nvfn,upplýsing
liggi,svg3fn,liggja
kannski,aa,kannski
fyrir,aþ,fyrir
um,aa,um
tekjurnar,nvfog,tekja
það,fahen,það
sem,ct,sem
af,aa,af
er,sfg3en,vera
árinu,nheþg,ár
.,.,.
,,
Það,fphen,það
er,sfg3en,vera
því,fpheþ,það
alveg,aa,alveg
ótímabært,lhensf,ótímabær
að,cn,að
svara,sng,svara
þeirri,faveþ,sá
spurningu,nveþ,spurning
.,.,.
,,
Eins,aa,eins
og,c,og
menn,nkfn,maður
tala,sfg3fn,tala
í,aþ,í
þessum,fakeþ,þessi
sal,nkeþ,salur
",",",",","
þá,aa,þá
heyrist,sfm3en,heyra
mér,fp1eþ,ég
að,c,að
ekki,aa,ekki
muni,svg1en,muna
veita,sng,veita
af,aþ,af
þessum,favfþ,þessi
tekjum,nvfþ,tekja
til,ae,til
þess,fphee,það
að,cn,að
slá,sng,slá
á,ao,á
þenslu,nveo,þensla
og,c,og
sýna,sng,sýna
aðhald,nheo,aðhald
í,aþ,í
ríkisrekstrinum,nkeþg,ríkisrekstur
.,.,.
,,
Að,c,að
því,fpheþ,það
er,sfg3en,vera
varðar,sfg3en,varða
skuldir,nvfo,skuld
heimilanna,nhfeg,heimili
þá,aa,þá
geri,sfg1en,gera
ég,fp1en,ég
athugasemd,nveo,athugasemd
við,aa,við
að,c,að
sí,aa,sí
og,c,og
æ,au,ær
sé,sfg1en,sjá
tekin,sþgven,taka
þessi,faven,þessi
eina,tfveo,einn
stærð,nveo,stærð
",",",",","
skuldir,nvfo,skuld
heimilanna,nhfeg,heimili
",",",",","
án,ae,án
samhengis,nhee,samhengi
við,ao,við
aðrar,fovfo,annar
stærðir,nvfo,stærð
",",",",","
m.a.,as,m.a.
eignir,nvfo,eign
heimilanna,nhfeg,heimili
.,.,.
,,
Hins,fakee,hinn
vegar,nkee,vegur
er,sfg3en,vera
ástæða,nven,ástæða
til,ae,til
að,cn,að
taka,sng,taka
undir,aa,undir
að,aþ,að
því,faheþ,það
marki,nheþ,mark
sem,ct,sem
það,fphen,það
kom,sfg3eþ,koma
fram,aa,fram
í,ao,í
ræðu,nveo,ræða
hv.,lveþsf,hv.
þm.,nveþ,þm.
að,c,að
það,fphen,það
má,sfg3en,mega
alveg,aa,alveg
halda,sng,halda
því,fpheþ,það
fram,aa,fram
að,c,að
bankar,nkfn,banki
og,c,og
fjármálastofnanir,nvfn,fjármálastofnun
hérlendis,aa,hérlendis
á,aþ,á
þessu,faheþ,þessi
ári,nheþ,ár
og,c,og
hinu,gheþ,hinn
síðasta,lheþve,síðari
hafa,sng,hafa
verið,ssg,vera
fullglannaleg,lvensf,fullglannalegur
í,aþ,í
útlánum,nhfþ,útlán
og,c,og
hafi,svg3en,hafa
kannski,aa,kannski
hleypt,ssg,hleypa
inn,aa,inn
í,ao,í
landið,nheog,land
fullmiklu,lheþsf,fullmikill
af,aþ,af
erlendu,lheþsf,erlendur
lánsfé,nheþ,lánsfé
.,.,.
,,
Hvað,fsheo,hver
gerði,sfg3eþ,gera
Seðlabankinn,nkengs,Seðlabanki
í,aþ,í
því,faheþ,það
efni,nheþ,efni
fyrr,aam,fyrr
á,aþ,á
þessu,faheþ,þessi
ári,nheþ,ár
?,?,?
,,
Hann,fpken,hann
þrengdi,sfg3eþ,þrengja
reglurnar,nvfog,regla
og,c,og
herti,sfg3eþ,herða
að,aþ,að
þessum,favfþ,þessi
stofnunum,nvfþ,stofnun
til,ae,til
að,cn,að
takmarka,sng,takmarka
þetta,faheo,þessi
.,.,.
,,
Þannig,aa,þannig
er,sfg3en,vera
stjórnað,sþghen,stjórna
í,aþ,í
landinu,nheþg,land
í,ao,í
dag,nkeo,dagur
",",",",","
slíkum,fbhfþ,slíkur
stjórntækjum,nhfþ,stjórntæki
er,sfg3en,vera
beitt,sþghen,beita
en,c,en
ekki,aa,ekki
skömmtun,nven,skömmtun
",",",",","
kvótum,nkfþ,kvóti
og,c,og
boðum,nhfþ,boð
og,c,og
bönnum,nhfþ,bann
af,aþ,af
ýmsu,foheþ,ýmis
tagi,nheþ,tag
eins,aa,eins
og,c,og
áður,aa,áður
tíðkaðist,sfm3eþ,tíðka
.,.,.
,,
Nú,aa,nú
eru,sfg3fn,vera
notaðar,sþgvfn,nota
sömu,fbvfn,sami
aðferðir,nvfn,aðferð
í,aþ,í
þessum,fahfþ,þessi
efnum,nhfþ,efni
og,c,og
í,aþ,í
öðrum,fokfþ,annar
löndum,nhfþ,land
og,c,og
Seðlabankinn,nkengs,Seðlabanki
hefur,sfg3en,hafa
óbeint,aa,óbeint
áhrif,nhfo,áhrif
á,ao,á
þetta,faheo,þessi
.,.,.
,,
Ég,fp1en,ég
held,sfg1en,halda
að,c,að
þetta,fahen,þessi
sé,svg3en,vera
farið,sþghen,fara
að,cn,að
bera,sng,bera
árangur,nkeo,árangur
.,.,.
,,
Ég,fp1en,ég
a.m.k.,as,a.m.k.
vona,sfg1en,vona
það,fphen,það
því,fpheþ,það
að,c,að
í,aþ,í
óefni,nheþ,óefni
getur,sfg3en,geta
stefnt,ssg,stefna
ef,c,ef
fram,aa,fram
heldur,c,heldur
sem,ct,sem
horfir,sfg3en,horfa
",",",",","
sérstaklega,aa,sérstaklega
með,aþ,með
skammtímalánsfé,nheþ,skammtímalánsfé
frá,aþ,frá
útlöndum,nhfþ,útland
.,.,.
,,
Heilbrigðisráðherra,nkee,heilbrigðisráðherra
(,(,(
Ingibjörg,nven-s,Ingibjörg
Pálmadóttir,nven-s,Pálmadóttir
),),)
:,:,:
Virðulegi,nken-s,Virðulegi
forseti,nken,forseti
.,.,.
,,
Það,fphen,það
kom,sfg3eþ,koma
fram,aa,fram
í,aa,í
gær,aa,gær
í,aþ,í
fréttum,nvfþ,frétt
hjá,aþ,hjá
forstjóra,nkeþ,forstjóri
Ríkisspítala,nkeþ-s,Ríkisspítali
og,c,og
Sjúkrahúss,nhee-s,Sjúkrahús
Reykjavíkur,nvee-s,Reykjavík
að,c,að
ekki,aa,ekki
hafi,svg3en,hafa
verið,ssg,vera
gert,sþghen,gera
ráð,nhen,ráð
fyrir,ao,fyrir
ýmsu,fohfo,ýms
í,aþ,í
fjárlögum,nhfþ,fjárlög
",",",",","
t.d.,as,t.d.
2000-vandanum,ta,2000-vandanum
",",",",","
framgangskerfi,nheþ,framgangskerfi
í,aþ,í
samningum,nkfþ,samningur
við,ao,við
hjúkrunarfræðinga,nkfo,hjúkrunarfræðingur
og,c,og
vinnutímatilskipun,nveo,vinnutímatilskipun
EES,nven-s,Ees
.,.,.
,,
Þetta,fahen,þessi
mál,nhen,mál
er,sfg3en,vera
í,aþ,í
höndum,nvfþ,hönd
sjúkrahúsanna,nhfeg,sjúkrahús
og,c,og
þeir,fpkfn,hann
munu,sfg3fn,munu
senda,sng,senda
mér,fp1eþ,ég
skýrslur,nvfo,skýrsla
innan,ae,innan
tíðar,nvee,tíð
.,.,.
,,
En,c,en
ég,fp1en,ég
vil,sfg1en,vilja
vekja,sng,vekja
athygli,nveo,athygli
á,aþ,á
því,fpheþ,það
að,c,að
á,ao,á
morgun,nkeo,morgunn
er,sfg3en,vera
utandagskrárumræða,nven,utandagskrárumræða
um,ao,um
stöðu,nveo,staða
sjúkrahúsanna,nhfeg,sjúkrahús
sem,ct,sem
beðið,sþghen,bíða
hefur,sfg3en,hafa
verið,ssg,vera
um,aa,um
hér,aa,hér
á,aþ,á
hinu,gheþ,hinn
háa,lheþvf,hár
Alþingi,nheþ-s,Alþingi
.,.,.
,,
Samgönguráðherra,nken,samgönguráðherra
(,(,(
Sturla,nven-s,Sturla
Böðvarsson,nken-s,Böðvarsson
),),)
:,:,:
Herra,nkee,herra
forseti,nken,forseti
.,.,.
,,
Ég,fp1en,ég
hóf,sfg1eþ,hefja
ræðu,nveo,ræða
mína,feveo,minn
áðan,aa,áðan
á,aþ,á
því,fpheþ,það
að,cn,að
vekja,sng,vekja
athygli,nveo,athygli
á,aþ,á
mikilvægu,lheþsf,mikilvægur
hlutverki,nheþ,hlutverk
