Word,Tag,Lemma
Forseti,nken,forseti
Íslands,nhee-s,Ísland
(,(,(
Ólafur,nken-s,Ólafur
Ragnar,nken-s,Ragnar
Grímsson,nken-s,Grímsson
),),)
:,:,:
Hinn,gken,hinn
20.,ta,20.
maí,nken,maí
2003,ta,2003
var,sfg3eþ,vera
gefið,sþghen,gefa
út,aa,út
svofellt,lhensf,svofelldur
bréf,nhen,bréf
:,:,:
„,nkeo,„ur
Forseti,nken,forseti
Íslands,nhee-s,Ísland
gjörir,sfg3en,gjöra
kunnugt,lheosf,kunnugur
:,:,:
Ég,fp1en,ég
hefi,sfg1en,hafa
ákveðið,ssg,ákveða
",",",",","
samkvæmt,aþ,samkvæmt
tillögu,nveþ,tillaga
forsætisráðherra,nkee,forsætisráðherra
",",",",","
að,c,að
Alþingi,nhen-s,Alþingi
skuli,svg3en,skulu
koma,sng,koma
saman,aa,saman
mánudaginn,nkeog,mánudagur
26.,ta,26.
maí,nkeo,maí
2003,ta,2003
",",",",","
kl.,nveng,kl.
13.30,ta,13.30
.,.,.
,,
Um,ao,um
leið,nveo,leið
og,c,og
ég,fp1en,ég
birti,sfg1eþ,birta
þetta,faheo,þessi
",",",",","
er,sfg1en,vera
öllum,fohfþ,allur
",",",",","
sem,ct,sem
setu,nveþ,seta
eiga,sfg3fn,eiga
á,aþ,á
Alþingi,nheþ-s,Alþingi
",",",",","
boðið,ssg,bjóða
að,cn,að
koma,sng,koma
nefndan,lkeosf,nefndur
dag,nkeo,dagur
til,ae,til
Reykjavíkur,nvee-s,Reykjavík
og,c,og
verður,sfg3en,verða
þá,aa,þá
Alþingi,nhen-s,Alþingi
sett,sþghen,setja
að,aþ,að
lokinni,lveþsf,lokinn
guðsþjónustu,nveþ,guðsþjónusta
í,aþ,í
Dómkirkjunni,nveþgs,Dómkirkjan
er,sfg3en,vera
hefst,sfm3en,hefja
klukkan,nveng,klukka
13.30,ta,13.30
.,.,.
,,
Gjört,ssg,gjöra
í,aþ,í
Reykjavík,nveþ-s,Reykjavík
",",",",","
20.,ta,20.
maí,nkeo,maí
2003,ta,2003
.,.,.
,,
Ólafur,nken-s,Ólafur
Ragnar,nken-s,Ragnar
Grímsson,nken-s,Grímsson
.,.,.
,,
-------------------,ta,-------------------
Davíð,nken-s,Davíð
Oddsson,nken-s,Oddsson
.,.,.
,,
Forsetabréf,nhen,forsetabréf
um,ao,um
að,c,að
Alþingi,nhen-s,Alþingi
skuli,svg3en,skulu
koma,sng,koma
saman,aa,saman
mánudaginn,nkeog,mánudagur
26.,ta,26.
maí,nkee,maí
2003.,ta,2003.
“,nkeo,“ur
,,
Samkvæmt,aþ,samkvæmt
bréfi,nheþ,bréf
því,faheþ,það
sem,ct,sem
ég,fp1en,ég
hef,sfg1en,hafa
nú,aa,nú
lesið,ssg,lesa
lýsi,nheo,lýsi
ég,fp1en,ég
yfir,aþ,yfir
því,fpheþ,það
að,c,að
Alþingi,nhen-s,Alþingi
Íslendinga,nkfe-s,Íslendingur
er,sfg3en,vera
sett,sþghen,setja
.,.,.
,,
Þegar,c,þegar
Alþingi,nhen-s,Alþingi
kemur,sfg3en,koma
saman,aa,saman
í,ao,í
fyrsta,lheove,fyrr
sinn,nheo,sinn
að,aþ,að
loknum,lvfþsf,lokinn
kosningum,nvfþ,kosning
eru,sfg3fn,vera
jafnan,aa,jafnan
tímamót,nhfn,tímamót
í,aþ,í
sögu,nveþ,saga
stofnunar,nvee,stofnun
sem,ct,sem
elst,lvense,gamall
er,sfg3en,vera
í,aþ,í
landi,nheþ,land
okkar,fp1fe,ég
",",",",","
eldri,lkenvm,gamall
en,c,en
sjálf,fbven,sjálfur
kirkjan,nveng,kirkja
og,c,og
um,ao,um
þúsund,tfhfþ,þúsund
árum,nhfþ,ár
eldri,lhfþvm,gamall
en,c,en
ráðherradómur,nken,ráðherradómur
og,c,og
lýðveldið,nheng,lýðveldi
.,.,.
