Word,Tag,Lemma
Aldursforseti,nken,aldursforseti
(,(,(
Oddur,nken-s,Oddur
Ólafsson,nken-s,Ólafsson
),),)
:,:,:
Áður,aa,áður
en,c,en
þingstörf,nhfn,þingstarf
hefjast,sfm3fn,hefja
að,aþ,að
þessu,faheþ,þessi
sinni,nheþ,sinn
vil,sfg1en,vilja
ég,fp1en,ég
minnast,snm,minna
nýlátins,lkeesf,nýlátinn
fyrrv.,nkee,fyrrv.
alþm.,lheþsf,alþm.
,,
Ingólfs,nhee,ingólf
Flygenring,nken-s,Flygenring
",",",",","
sem,ct,sem
andaðist,sfm3eþ,anda
í,aþ,í
St.,nkeþ-s,St.
,,
Jósepsspítala,nkeþ,jósepsspítali
í,aþ,í
Hafnarfirði,nkeþ-s,Hafnarfjörður
15.,ta,15.
sept.,nveþ,sept.
",",",",","
83,ta,83
ára,nhfe,ár
að,aþ,að
aldri,nkeþ,aldur
.,.,.
,,
Ingólfur,nken-s,Ingólfur
Flygenring,nken-s,Flygenring
var,sfg3eþ,vera
fæddur,sþgken,fæða
í,aþ,í
Hafnarfirði,nkeþ-s,Hafnarfjörður
24.,ta,24.
júní,nkeþ,júní
1896,ta,1896
.,.,.
,,
Faðir,nken,faðir
hans,fpkee,hann
var,sfg3eþ,vera
Ágúst,nken-s,Ágúst
Flygenring,nken-s,Flygenring
skipstjóri,nken,skipstjóri
",",",",","
kaupmaður,nken,kaupmaður
og,c,og
útgerðarmaður,nken,útgerðarmaður
í,aþ,í
Hafnarfirði,nkeþ-s,Hafnarfjörður
og,c,og
alþingismaður,nken,alþingismaður
",",",",","
sonur,nken,sonur
Þórðar,nkee-s,Þórður
bónda,nkee,bóndi
og,c,og
hreppstjóra,nkee,hreppstjóri
að,aþ,að
Fiskilæk,nkeþ-s,Fiskilækur
í,aþ,í
Borgarfjarðarsýslu,nveþ-s,Borgarfjarðarsýsla
Sigurðssonar,nkee-s,Sigurðsson
.,.,.
,,
Móðir,nven,móðir
Ingólfs,nkee-s,Ingólfur
Flygenring,nken-s,Flygenring
var,sfg3eþ,vera
Þórunn,nven-s,Þórunn
Stefánsdóttir,nven-s,Stefánsdóttir
bónda,nkeo,bóndi
að,aþ,að
Þóreyjarnúpi,nheþ-s,Þóreyjarnúp
í,aþ,í
Húnavatnssýslu,nveþ-s,Húnavatnssýsla
Jónssonar,nkee-s,Jónsson
.,.,.
,,
Kona,nven,kona
Ingólfs,nkee-s,Ingólfur
var,sfg3eþ,vera
Kristín,nven-s,Kristín
Pálsdóttir,nven-s,Pálsdóttir
bónda,nkeo,bóndi
og,c,og
hreppstjóra,nkeo,hreppstjóri
í,aþ,í
Tungu,nveþ-s,Tunga
í,aþ,í
Fáskrúðsfirði,nkeþ-s,Fáskrúðsfjörður
.,.,.
,,
Hún,fpven,hún
lifir,sfg3en,lifa
mann,nkeo,maður
sinn,fekeo,sinn
.,.,.
,,
Hann,fpken,hann
stundaði,sfg3eþ,stunda
nám,nheo,nám
í,ao,í
Flensborgarskóla,nkeo-s,Flensborgarskóli
veturinn,nkeog,vetur
1908--1911,ta,1908--1911
og,c,og
lauk,sfg3eþ,ljúka
þar,aa,þar
gagnfræðaprófi,nheþ,gagnfræðapróf
",",",",","
nam,sfg3eþ,nema
síðan,aa,síðan
í,ao,í
Hólaskóla,nkeo-s,Hólaskóli
1913--1915,ta,1913--1915
og,c,og
lauk,sfg3eþ,ljúka
búfræðiprófi,nheþ,búfræðipróf
.,.,.
,,
Eftir,ao,eftir
það,fpheo,það
var,sfg3eþ,vera
hann,fpken,hann
bóndi,nken,bóndi
á,aþ,á
Hvaleyri,nveþ-s,Hvaleyri
við,ao,við
Hafnarfjörð,nkeo-s,Hafnarfjörður
árin,nhfog,ár
1916--1919,ta,1916--1919
.,.,.
,,
Framkvæmdastjóri,nken,framkvæmdastjóri
við,ao,við
útgerð,nveo,útgerð
og,c,og
verslun,nveo,verslun
í,aþ,í
Hafnarfirði,nkeþ-s,Hafnarfjörður
var,sfg3eþ,vera
hann,fpken,hann
1919--1928,ta,1919--1928
og,c,og
síðan,aa,síðan
við,ao,við
útgerð,nveo,útgerð
og,c,og
rekstur,nkeo,rekstur
frystihúss,nhee,frystihús
þar,aa,þar
1928--1968,ta,1928--1968
.,.,.
,,
Hann,fpken,hann
var,sfg3eþ,vera
í,aþ,í
skólanefnd,nveþ,skólanefnd
Flensborgarskóla,nkee-s,Flensborgarskóli
1925--1958,ta,1925--1958
",",",",","
átti,sfg3eþ,eiga
sæti,nhen,sæti
í,aþ,í
bæjarstjórn,nveþ,bæjarstjórn
Hafnarfjarðar,nkee-s,Hafnarfjörður
1950--1954,ta,1950--1954
og,c,og
í,aþ,í
stjórn,nveþ,stjórn
Sparisjóðs,nkee-s,Sparisjóður
Hafnarfjarðar,nkee-s,Hafnarfjörður
1958--1967,ta,1958--1967
.,.,.
,,
Þar,aa,þar
var,sfg3eþ,vera
hann,fpken,hann
stjórnarformaður,nken,stjórnarformaður
frá,aþ,frá
1965,ta,1965
.,.,.
,,
Alþingismaður,nken,alþingismaður
Hafnfirðinga,nkfe-s,Hafnfirðingur
var,sfg3eþ,vera
hann,fpken,hann
eitt,fohen,einn
kjörtímabil,nhen,kjörtímabil
",",",",","
1953--1956,ta,1953--1956
",",",",","
en,c,en
hafði,sfg3eþ,hafa
